2022-05-18 22:05:34 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:873 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (7844d608a649e42f49a33609b217e816)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 22:05:594 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (7844d608a649e42f49a33609b217e816)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
2022-05-18 22:05:927 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:471 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:491 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (80cde1b21dac85eaa3c8f9dae4737761)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 22:05:256 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (80cde1b21dac85eaa3c8f9dae4737761)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
2022-05-18 22:05:403 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:349 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (e69ef20f39a2e80a367a4e5723859627)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 22:05:17 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (e69ef20f39a2e80a367a4e5723859627)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
2022-05-18 22:05:19 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:734 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (9a4d5854185d6c47bcdd1d5e9fa6b61c)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 22:05:202 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (9a4d5854185d6c47bcdd1d5e9fa6b61c)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
2022-05-18 22:05:696 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:856 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:644 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (30cccb2365b557ae86ad964b7842f181)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 22:05:488 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (30cccb2365b557ae86ad964b7842f181)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
2022-05-18 22:05:645 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:422 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:975 INFO  ManageDriver :30 - Launching Chrome Browser
